package,component,maturity,review_notes
@ccui/primitives,accordion,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,badge,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,bell-icon,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,button,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,card,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,ccui-signal-bell,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,cluster,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,container,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,divider,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,doc-search,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,empty-state,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,eyebrow,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,filter-bar,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,grid,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,heading,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,heart-icon,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,icon-frame,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,icons,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,link,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,media-frame,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,notice,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,panel,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,search-input,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,section,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,select,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,stack,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,table,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,tabs,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,tag,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,text,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/primitives,timeline,stable-candidate,"General primitive; review API naming, accessibility, and composition behavior."
@ccui/catholic,adoration-schedule-block,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,announcement-banner,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,api-endpoint-card,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,archive-search-result,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,authority-level-badge,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,auto-tithe-card,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,bible-passage-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,breadcrumb,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,bulletin-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
